url,municipality_url,property_id,price,cadastral_income,vat,state_of_the_property,currently_leased,build_year,number_of_bedrooms,livable_surface,number_of_bathrooms,number_of_toilets,type_of_heating,number_of_facades,number_of_floors,garden,garden_orientation,terrace,total_land_surface,buildable_surface,gas,running_water,specific_primary_energy_consumption,epc_peb_reference,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd32161,marcinelle,VBD32161,169 000 €,,No,,No,,3,107 m²,1,1,Not specified,,3,Yes,,No,,,,,142 kWh/m²/year,20250923017647,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbd32199,mont-sur-marchienne,VBD32199,149 000 €,669 €,No,To be renovated,,,4,138 m²,1,1,Fuel oil,3,4,Yes,,,302 m²,,,,714 kWh/m²/year,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbd32261,ransart,VBD32261,170 000 €,423 €,No,Normal,No,,4,180 m²,,1,Not specified,3,,Yes,,No,388 m²,,,,613 kWh/m²/year,20250809007834,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/goutroux/vbd32549,goutroux,VBD32549,352 801 €,,,New,,,3,187 m²,2,2,,4,,Yes,,,1000 m²,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/goutroux/vbd32550,goutroux,VBD32550,317 354 €,,,New,,,3,128 m²,1,2,,4,,Yes,,,1000 m²,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd15202,gosselies,VBD15202,155 000 €,356 €,No,Normal,Yes,,3,85 m²,,1,Gas,2,,Yes,,,70 m²,,Yes,Yes,505 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/6044/roux/vbd32828,roux,VBD32828,129 000 €,,No,,No,,3,,,1,Electricity,2,,Yes,,Yes,,,,,835 kWh/m²/year,20250919022798,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6032/mont-sur-marchienne/vbd32905,mont-sur-marchienne,VBD32905,238 000 €,,No,,No,,3,348 m²,1,,Gas,2,,Yes,,Yes,250 m²,,,,377 kWh/m²/year,20241030015747,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6010/couillet/vbd32852,couillet,VBD32852,280 000 €,795 €,No,Normal,No,1874,5,188 m²,1,2,Gas,2,,Yes,,Yes,240 m²,,,,249 kWh/m²/year,20250711022116,Not applicable,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd33142,marchienne-au-pont,VBD33142,250 000 €,,No,Excellent,No,,5,185 m²,2,,Gas,2,,Yes,,Yes,260 m²,,Yes,Yes,155 kWh/m²/year,,"yes, certificate in accordance",,no flooding area,(information not available)
