url,postal_code,municipality,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,surface_of_living_room,cellar,garage,number_of_garages,surface_kitchen,number_of_bathrooms,number_of_toilets,solar_panels,type_of_heating,type_of_glazing,alarm,elevator,access_for_disabled,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,surface_garden,terrace,surface_terrace,total_land_surface,ground_depth,terrain_width_at_the_roadside,sewer_connection,gas,rain_water_tank,specific_primary_energy_consumption,yearly_total_primary_energy_consumption,validity_date_epc_peb,co2_emission,certification_electrical_installation,building_permission_granted,planning_permission_granted,preemption_right,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc86763,1020,laken,VBC86763,399 000 €,No,,No,,5,,,,,145 m²,25 m²,,,,,1,,,Gas,,,,,,2,,,,No,,Yes,23 m²,,,,,,,199 kWh/m²/year,,,39,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbc89149,1000,brussels,VBC89149,2 785 000 €,No,Excellent,,Immediately,7,20 m²,19 m²,18 m²,16 m²,785 m²,,,Yes,,,7,2,,Gas,Double glass,,No,No,,2,,4,1,,,Yes,147 m²,,,,,Yes,,134 kWh/m²/year,,,28,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc90888,1020,laken,VBC90888,499 000 €,No,,No,,4,,,,,185 m²,38 m²,,Yes,1,,,,,Gas,,,,,,3,,,,Yes,450 m²,Yes,20 m²,,,,,,,425 kWh/m²/year,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc93920,1000,brussels,VBC93920,1 750 000 €,No,To be renovated,,On contract,5,,,,,339 m²,,,Yes,,,2,,,,,,,,,2,,,,Yes,70 m²,Yes,,168 m²,,,,,,,,,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd13621,1000,brussels,VWD13621,1 130 000 €,No,,,On contract,6,21 m²,16 m²,16 m²,16 m²,390 m²,42 m²,Yes,,,18 m²,3,,,Gas,Double glass,Yes,,,,3,,,,Yes,55 m²,Yes,10 m²,,,,Yes,Yes,Yes,294 kWh/m²/year,294 kWh/year,,58,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc96418,1000,brussels,VBC96418,299 000 €,No,To be renovated,,On contract,2,26 m²,32 m²,,,109 m²,23 m²,Yes,,,4 m²,1,2,,Gas,Double glass,,,,South-west,3,7 m,2,,Yes,5 m²,,,58 m²,,7 m,Yes,Yes,,,,20/03/2033,,,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1130/haren/rbt83879,1130,haren,RBT83879,539 000 €,No,Normal,,,4,,,,,216 m²,,No,Yes,1,,2,,Yes,Solar energy,Double glass,,No,No,,,,,,Yes,364 m²,Yes,,364 m²,,,,,,187 kWh/m²/year,,,,No certificate,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vwd14143,1020,laken,VWD14143,850 000 €,No,Normal,,On contract,5,16 m²,17 m²,11 m²,11 m²,260 m²,,Yes,Yes,,,,,,Gas,Double glass,,,,,2,,,2,Yes,225 m²,Yes,,400 m²,,,Yes,Yes,Yes,399 kWh/m²/year,,,80,"yes, certificate in accordance",,,,no flooding area,(information not available)
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vbc99647,1000,brussels,VBC99647,1 980 000 €,No,Normal,No,,7,,,,,430 m²,60 m²,,Yes,2,,3,3,,Gas,,,No,,,,8 m,3,,Yes,40 m²,No,,238 m²,,,,,,367 kWh/m²/year,,,,Not applicable,,,,(information not available),(information not available)
https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbd00176,1020,laken,VBD00176,599 000 €,No,To be renovated,No,,10,,,,,746 m²,,No,,,,4,4,,Gas,,,No,,,3,14 m,3,,No,,No,,305 m²,,,,Yes,,577 kWh/m²/year,,11/06/2034,115,Not applicable,,,,(information not available),(information not available)
