url,municipality_url,property_id,price,vat,state_of_the_property,currently_leased,availability,number_of_bedrooms,livable_surface,furnished,number_of_bathrooms,number_of_toilets,elevator,floor_of_appartment,number_of_facades,frontage_width,garden,terrace,surface_terrace,ground_depth,gas,running_water,certification_electrical_installation,preemption_right,urbanism_affectation,flooding_area_type,demarcated_flooding_area,cadastral_income,garage,orientation_of_the_front_facade,specific_primary_energy_consumption,epc_peb_reference,validity_date_epc_peb,certification_as_build_,build_year,type_of_heating,type_of_glazing,air_conditioning,alarm,access_for_disabled,balcony,the_property_and_or_its_surroundings_are_protected_
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63050,oostakker,RBU63050,389000,,New,,,2,90,0,1,1,1,4,3,6 m,,,8,,1,1,,0,,no flooding area,,,1,North-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9052/zwijnaarde/rbu60031,zwijnaarde,RBU60031,439000,0,Normal,,,3,135,,1,2,0,,2,,,,12,,1,1,"yes, certificate in accordance",1,,,,1152,1,South-east,,,30/12/2032,,2022,,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63051,oostakker,RBU63051,384000,,New,,,2,90,0,1,1,1,3,3,6 m,,,8,,1,1,,0,,no flooding area,,,1,North-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63052,oostakker,RBU63052,369000,,New,,,2,90,0,1,1,1,1,3,6 m,,,8,,1,1,,0,,no flooding area,,,1,North-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63053,oostakker,RBU63053,349000,,New,,,2,84,0,1,1,1,1,2,10 m,,,9,,1,1,,0,,no flooding area,,,1,North-west,,,,,2025,Hot air,Double glass,,,0,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63057,oostakker,RBU63057,317000,,New,,,3,92,0,1,1,1,1,,,,,15,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63060,oostakker,RBU63060,411000,,New,,,3,112,0,1,1,1,3,,,,,34,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63059,oostakker,RBU63059,434000,,New,,,3,114,0,1,1,1,3,,,,,45,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63062,oostakker,RBU63062,299000,,New,,,2,89,0,1,1,1,2,,,,,10,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63058,oostakker,RBU63058,300000,,New,,,2,87,0,1,1,1,1,,,,,15,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63061,oostakker,RBU63061,425000,,New,,,3,103,0,1,1,1,3,,,,,62,,,1,,,Extended area of residence,no flooding area,,,,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63064,oostakker,RBU63064,332000,,New,,,2,99,0,1,2,1,0,,,,,10,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63063,oostakker,RBU63063,317000,,New,,,3,92,0,1,1,1,2,,,,,15,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63065,oostakker,RBU63065,299000,,New,,,2,89,0,1,1,1,1,,,,,10,,,1,,,Extended area of residence,no flooding area,,,1,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9041/oostakker/rbu63066,oostakker,RBU63066,305000,,New,,,2,88,0,1,1,1,0,,,,,15,,,1,,,Extended area of residence,no flooding area,,,,East,,,,,2025,Hot air,Double glass,,1,,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu63434,gent,RBU63434,749000,0,Excellent,0,,2,171,,1,2,1,3,2,,,,48,,,1,"yes, certificate in accordance",1,"Residential area of cultural, historical value",no flooding area,,,1,,102,,22/06/2025,,2015,,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu64248,gent,RBU64248,489000,0,,0,On contract,2,114,0,1,1,0,,,,,,,,,,,,,,,,,,138,20250325-0003562149-RES-1,,,,Not specified,,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu63435,gent,RBU63435,275000,0,Normal,0,,2,71,,1,1,,,2,,,,,,1,1,"yes, certificate in accordance",1,"Residential area of cultural, historical value",no flooding area,,399,,,201,20250821-0003667142-RES-1,21/08/2035,,,Gas,Double glass,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9050/ledeberg/rbu64643,ledeberg,RBU64643,280000,0,Normal,0,,2,100,,,1,1,2,2,,,,24,,1,1,"No, certificate does not comply",1,"Residential zone (residential, urban)",no flooding area,,974,,,232,20251028-0003717741-RES-1,28/10/2035,,1963,Gas,Double glass,,,,,
https://immovlan.be/en/detail/apartment/for-sale/9000/gent/rbu64759,gent,RBU64759,219000,0,,0,,1,57,,1,1,1,17,2,,,,,,1,,,,"Residential zone (residential, urban)",,,731,,,118,202009260002319888res1,,,,,,,,,,
