url,postal_code,municipality,property_id,price,vat,currently_leased,availability,number_of_bedrooms,furnished,attic,garage,number_of_garages,number_of_bathrooms,number_of_toilets,type_of_heating,elevator,orientation_of_the_front_facade,number_of_facades,number_of_floors,garden,terrace,specific_primary_energy_consumption,certification_electrical_installation,urbanism_affectation,flooding_area_type,demarcated_flooding_area
https://immovlan.be/en/detail/residence/for-sale/8200/sint-michiels/rbu64784,8200,sint-michiels,RBU64784,725000,,,,4,0,1,,,2,2,,0,,3,3,,,,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/mixed-building/for-sale/4020/liege/vbd48396,4020,liege,VBD48396,167000,0,1,On contract,4,0,,,,2,2,Gas,0,,2,2,,,400,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/5590/ciney/vbd48400,5590,ciney,VBD48400,770000,0,0,On contract,5,0,,,,2,2,Fuel oil,0,South-east,4,4,,,193,,,no flooding area,
https://immovlan.be/en/detail/villa/for-sale/8000/brugge/rbu64786,8000,brugge,RBU64786,480000,0,0,On contract,4,0,,1,2,1,3,Fuel oil,0,,3,2,,,936,"No, certificate does not comply",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/4470/saint-georges-sur-meuse/vbd48397,4470,saint-georges-sur-meuse,VBD48397,349000,0,0,On contract,4,0,,1,1,2,2,Wood,0,South,4,,,,183,,,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/3090/overijse/vbd48415,3090,overijse,VBD48415,740000,0,0,On contract,4,0,1,1,1,3,3,Gas,0,,4,2,,,176,"yes, certificate in accordance",,,
https://immovlan.be/en/detail/residence/for-sale/4900/spa/vbd48417,4900,spa,VBD48417,199000,0,0,On contract,3,0,1,,,1,1,Gas,0,,3,1,,,446,"No, certificate does not comply",,,
https://immovlan.be/en/detail/bungalow/for-sale/6441/erpion/vbd48420,6441,erpion,VBD48420,155000,0,,On contract,2,0,,,,1,1,Electricity,0,,3,1,,,247,"yes, certificate in accordance",,no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64817,9041,oostakker,RBU64817,417452,,0,,3,,,,,,,,,,3,,,,,,"Residential zone (residential, urban)",no flooding area,
https://immovlan.be/en/detail/residence/for-sale/9041/oostakker/rbu64818,9041,oostakker,RBU64818,416705,,0,,3,,,,,,,,,,2,,,,,,"Residential zone (residential, urban)",no flooding area,
