url,municipality_url,property_id,price,vat,state_of_the_property,build_year,availability,number_of_bedrooms,surface_bedroom_1,surface_bedroom_2,surface_bedroom_3,surface_bedroom_4,livable_surface,furnished,surface_of_living_room,attic,kitchen_equipment,kitchen_type,surface_kitchen,number_of_bathrooms,number_of_toilets,type_of_heating,type_of_glazing,elevator,orientation_of_the_front_facade,number_of_facades,frontage_width,number_of_floors,number_of_parking_places_outdoor_,garden,terrace,total_land_surface,terrain_width_at_the_roadside,sewer_connection,gas,running_water,swimming_pool,specific_primary_energy_consumption,certification_electrical_installation,certification_electrical_installation_validity,building_permission_granted,planning_permission_granted,preemption_right,g_score,p_score,flooding_area_type,demarcated_flooding_area,water_sensitive_open_space_areas,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
https://immovlan.be/en/detail/residence/for-sale/8670/koksijde/rbu65271,koksijde,RBU65271,430000,0,Excellent,1978,None,4,None,None,None,None,None,None,None,None,None,None,None,1,1,Gas,Double glass,None,None,4,None,1,None,None,None,712,None,None,1,1,None,304,None,None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/7030/saint-symphorien/vbd48856,saint-symphorien,VBD48856,239000,0,None,None,On contract,3,16,12,14,None,141,0,14,1,Fully equipped,Western kitchen,11,1,1,Gas,Double glass,0,None,4,None,1,1,None,None,390,None,1,1,1,0,None,"yes, certificate in accordance",08/09/2010,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1600/sint-pieters-leeuw/rbu65223,sint-pieters-leeuw,RBU65223,420000,0,To be renovated,1930,Immediately,2,13,22,None,None,120,0,17,1,None,Independent,18,1,1,Coal,None,0,None,4,None,1,2,None,None,737,None,1,None,1,0,1257,"No, certificate does not comply",None,1,0,0,A,A,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/2140/antwerp/rbu65225,antwerp,RBU65225,424000,0,None,1952,On contract,3,None,None,None,None,132,None,None,None,None,None,None,1,None,Gas,None,0,East,2,6 m,None,None,None,None,207,None,None,None,None,None,None,None,None,None,None,0,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9570/lierde/rbu65230,lierde,RBU65230,257500,0,To be renovated,1974,On contract,2,11,12,None,None,128,0,30,1,None,None,10,1,2,Gas,None,0,None,4,17 m,None,8,None,None,1440,None,1,None,None,0,751,"No, certificate does not comply",None,1,1,0,A,A,no flooding area,None,0,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1180/ukkel/vbd48860,ukkel,VBD48860,1590000,0,None,None,From 01/10/2025,5,None,None,None,None,381,None,25,None,None,None,None,4,None,Gas,None,None,North-west,2,None,None,2,None,None,224,None,None,None,None,None,238,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/4470/saint-georges-sur-meuse/vbd48864,saint-georges-sur-meuse,VBD48864,160000,0,To be renovated,1950,Immediately,3,16,23,17,None,123,None,None,1,None,Independent,14,1,1,Fuel oil,Double glass,0,None,4,12 m,2,1,None,None,437,12 m,1,None,1,0,455,"No, certificate does not comply",None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/bungalow/for-sale/4460/grace-hollogne/vbd48659,grace-hollogne,VBD48659,219000,0,Normal,1971,None,2,None,None,None,None,98,0,29,None,None,None,None,1,1,Fuel oil,None,0,None,3,9 m,None,1,None,None,413,None,None,None,None,None,469,"No, certificate does not comply",None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/6997/erezee/vbd48649,erezee,VBD48649,255000,None,None,2023,None,2,None,None,None,None,95,0,None,None,None,None,None,1,None,Not specified,None,0,South-west,4,None,None,None,None,None,1437,None,None,None,None,None,None,None,None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/7011/ghlin/vbd48656,ghlin,VBD48656,200000,0,To be renovated,None,Negotiable,3,None,None,None,None,188,0,None,1,None,None,None,None,1,Gas,None,0,East,4,None,None,None,None,None,425,None,None,None,None,None,489,None,None,None,None,None,None,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/6180/courcelles/vbd48598,courcelles,VBD48598,90000,0,None,None,On contract,3,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,3,None,None,None,None,None,325,None,None,None,None,None,715,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/1560/hoeilaart/rbu64929,hoeilaart,RBU64929,539000,0,Fully renovated,1976,None,4,None,None,None,None,165,None,None,0,None,None,None,1,None,Gas,Double glass,0,South-west,None,None,None,None,None,None,949,None,None,None,None,None,247,None,None,None,1,None,A,None,no flooding area,None,None,None,None,None,None,None
https://immovlan.be/en/detail/cottage/for-sale/8620/nieuwpoort/rbu64865,nieuwpoort,RBU64865,None,0,Normal,None,On contract,20,None,None,None,None,2000,1,None,1,Fully equipped,Western kitchen,None,10,12,Gas,Double glass,0,None,4,None,3,20,None,None,7096,None,None,1,1,0,350,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None
https://immovlan.be/en/detail/residence/for-sale/9400/ninove/rbu64927,ninove,RBU64927,145000,0,To be renovated,None,None,2,None,None,None,None,131,None,None,1,None,None,None,None,None,Gas,Simple glass,0,West,None,4 m,None,None,None,None,200,None,None,None,None,None,838,None,None,None,0,0,None,None,no flooding area,None,None,None,None,None,None,None
